,mesh_sizes,times_microseconds_cuda,times_microseconds_parallel
0,316,5584382,0
1,316,5590067,0
2,316,5611686,0
3,316,5602742,0
4,316,5612332,0
5,387,8203582,0
6,387,8209156,0
7,387,8206769,0
8,387,8198252,0
9,387,8214567,0
10,447,10777678,0
11,447,10760269,0
12,447,10800513,0
13,447,10764577,0
14,447,10752357,0
15,500,13347022,0
16,500,13327745,0
17,500,13333246,0
18,500,13308361,0
19,500,13346080,0
20,547,15722663,0
21,547,15743308,0
22,547,15741565,0
23,547,15779676,0
24,547,15753822,0
25,591,18226996,0
26,591,18213331,0
27,591,18187692,0
28,591,18186498,0
29,591,18223196,0
30,632,20647667,0
31,632,20682403,0
32,632,20656931,0
33,632,20680993,0
34,632,20629264,0
35,670,23164610,0
36,670,23225299,0
37,670,23123793,0
38,670,23137152,0
39,670,23138227,0
40,707,25756741,0
41,707,25726870,0
42,707,25777122,0
43,707,25733983,0
44,707,25807177,0
45,741,28294204,0
46,741,28316863,0
47,741,28304542,0
48,741,28313526,0
49,741,28282442,0
50,774,30936200,0
51,774,30876474,0
52,774,30924575,0
53,774,30876681,0
54,774,30816348,0
55,806,33878681,0
56,806,33756166,0
57,806,33679957,0
58,806,33712670,0
59,806,33668376,0
60,836,36158414,0
61,836,36261152,0
62,836,36266791,0
63,836,36191436,0
64,836,36084510,0
65,866,38819182,0
66,866,38716169,0
67,866,38832422,0
68,866,38798692,0
69,866,38787394,0
