,mesh_sizes,time_microseconds_cuda_single_gpu,time_microseconds_cuda_multi_gpu
0,240,14693155,27153352
1,240,14439781,9221234
2,240,14810224,9065238
3,240,14485739,9060531
4,240,14542969,27158253
5,316,25265963,14954331
6,316,25768926,15270719
7,316,25599557,14937154
8,316,25922215,15015648
9,316,25762174,15320257
10,387,38978222,21947334
11,387,39176051,22208386
12,387,39125773,22069674
13,387,38998546,22272883
14,387,39137393,21969258
15,447,52928658,29302550
16,447,52790203,29668815
17,447,52906645,29198361
18,447,53190041,29514916
19,447,52931373,29278318
20,500,67007101,36926908
21,500,66633617,36760270
22,500,66814575,56424953
23,500,67169747,36938561
24,500,66945247,36912736
25,547,80927241,44193443
26,547,81126544,44116354
27,547,81093648,44307391
28,547,81000239,44291220
29,547,81146025,44292904
30,591,94717520,62579807
31,591,94284744,51457569
32,591,95151022,51340785
33,591,94668773,62551987
34,591,94211059,51346495
