,num_proc,times_microseconds,mesh_sizes
0,1,75330923,150
1,1,160931156,200
2,1,265844812,250
3,1,391222922,300
4,1,543458074,350
5,1,723685035,400
6,2,36565288,150
7,2,72004583,200
8,2,131280727,250
9,2,194403734,300
10,2,267316166,350
11,2,353307203,400
12,3,33875027,150
13,3,72037050,200
14,3,128551743,250
15,3,184362649,300
16,3,270061675,350
17,3,369568175,400
18,4,27469102,150
19,4,42815800,200
20,4,93674865,250
21,4,156273724,300
22,4,216321292,350
23,4,285508861,400
24,5,27476829,150
25,5,56095051,200
26,5,104336035,250
27,5,170430604,300
28,5,241718121,350
29,5,322505707,400
30,6,23266396,150
31,6,45949797,200
32,6,85089507,250
33,6,140494401,300
34,6,215301647,350
35,6,278928906,400
36,7,24466317,150
37,7,50393323,200
38,7,103249238,250
39,7,160163926,300
40,7,223189507,350
41,7,301865189,400
42,8,23116001,150
43,8,41810916,200
44,8,85023172,250
45,8,138303099,300
46,8,201436150,350
47,8,274803052,400
