,num_proc,times_microseconds,mesh_sizes
0,1,38495961,150
1,1,88097233,200
2,1,168151760,250
3,1,261963733,300
4,1,377143331,350
5,1,505801714,400
6,2,22437350,150
7,2,56356077,200
8,2,114906949,250
9,2,185377260,300
10,2,271252861,350
11,2,311747821,400
12,3,15116714,150
13,3,34371360,200
14,3,81417706,250
15,3,136789354,300
16,3,199119937,350
17,3,277687020,400
18,4,12353452,150
19,4,30878055,200
20,4,66504446,250
21,4,127014886,300
22,4,192263572,350
23,4,269752255,400
24,5,11593391,150
25,5,28790652,200
26,5,63183291,250
27,5,123783792,300
28,5,188869297,350
29,5,267252643,400
30,6,10114916,150
31,6,27797349,200
32,6,64402281,250
33,6,120813225,300
34,6,188885891,350
35,6,271591676,400
36,7,9511458,150
37,7,28497966,200
38,7,63400643,250
39,7,118495013,300
40,7,188527747,350
41,7,278663693,400
42,8,9173092,150
43,8,27820782,200
44,8,61213062,250
45,8,113328721,300
46,8,188708610,350
47,8,280371471,400
