,num_proc,times_microseconds,mesh_sizes
0,1,31427058,150
1,1,70185095,200
2,1,130149546,250
3,1,204002114,300
4,1,290264253,350
5,1,392653176,400
6,2,18519366,150
7,2,44530078,200
8,2,90021996,250
9,2,148553971,300
10,2,221709134,350
11,2,303259448,400
12,3,14396586,150
13,3,36513296,200
14,3,78585014,250
15,3,130432984,300
16,3,196804309,350
17,3,273359807,400
18,4,13379020,150
19,4,29603865,200
20,4,64765012,250
21,4,123521625,300
22,4,189724296,350
23,4,265165070,400
24,5,11477186,150
25,5,29677228,200
26,5,62590294,250
27,5,118230297,300
28,5,188183566,350
29,5,264805355,400
30,6,12367911,150
31,6,29344993,200
32,6,62430975,250
33,6,117542493,300
34,6,188906666,350
35,6,268334559,400
36,7,14897813,150
37,7,29924808,200
38,7,60871420,250
39,7,113328819,300
40,7,183617837,350
41,7,269813036,400
42,8,13155975,150
43,8,27772206,200
44,8,60214114,250
45,8,115564324,300
46,8,189292036,350
47,8,275214292,400
48,9,9299567,150
49,9,29530521,200
50,9,61440492,250
51,9,114149732,300
52,9,185291678,350
53,9,261487259,400
54,10,9074473,150
55,10,28680805,200
56,10,59025683,250
57,10,109881716,300
58,10,184206242,350
59,10,264400534,400
60,11,8735240,150
61,11,29197731,200
62,11,60929294,250
63,11,105976587,300
64,11,174894276,350
65,11,263923830,400
66,12,8622775,150
67,12,26852933,200
68,12,59640225,250
69,12,109258509,300
70,12,178362442,350
71,12,261720528,400
72,13,8563876,150
73,13,32018713,200
74,13,59744094,250
75,13,110445416,300
76,13,179648786,350
77,13,267885189,400
78,14,8763325,150
79,14,27985977,200
80,14,60529015,250
81,14,112136236,300
82,14,181793390,350
83,14,270807270,400
84,15,9235904,150
85,15,28477090,200
86,15,62596197,250
87,15,116831583,300
88,15,188395992,350
89,15,271870751,400
90,16,9658684,150
91,16,29188762,200
92,16,65008434,250
93,16,119587902,300
94,16,190520847,350
95,16,277908520,400
