,num_proc,times_microseconds,mesh_sizes
0,1,2369719,50
1,1,5557872,75
2,1,11189421,100
3,1,23060485,125
4,1,33395728,150
5,2,1293381,50
6,2,2927421,75
7,2,5632247,100
8,2,10781385,125
9,2,18948734,150
10,3,963086,50
11,3,2103100,75
12,3,4281984,100
13,3,8287169,125
14,3,15001505,150
15,4,772587,50
16,4,1701724,75
17,4,3513583,100
18,4,6490728,125
19,4,12837000,150
20,5,623974,50
21,5,1410060,75
22,5,4004427,100
23,5,5606850,125
24,5,11199317,150
25,6,602311,50
26,6,1381856,75
27,6,2636210,100
28,6,5182492,125
29,6,10305954,150
30,7,567970,50
31,7,1223636,75
32,7,2237019,100
33,7,4836370,125
34,7,9949634,150
35,8,571087,50
36,8,1068240,75
37,8,2172473,100
38,8,4374136,125
39,8,9528097,150
40,9,612802,50
41,9,1610856,75
42,9,2574306,100
43,9,5454188,125
44,9,9913971,150
45,10,605858,50
46,10,1527529,75
47,10,2462641,100
48,10,4773914,125
49,10,9437950,150
50,11,617064,50
51,11,1447664,75
52,11,2381992,100
53,11,4623029,125
54,11,9052743,150
55,12,586540,50
56,12,1430884,75
57,12,2471610,100
58,12,4697232,125
59,12,9019283,150
60,13,836911,50
61,13,1428799,75
62,13,2407450,100
63,13,4855270,125
64,13,8937853,150
65,14,809745,50
66,14,1043367,75
67,14,2483625,100
68,14,4473430,125
69,14,9160219,150
70,15,873871,50
71,15,1406546,75
72,15,2345922,100
73,15,4694584,125
74,15,9082795,150
75,16,984742,50
76,16,1572339,75
77,16,2750663,100
78,16,5847011,125
79,16,10403934,150
