,num_proc,times_microseconds,mesh_sizes
0,1,46806496,447
1,1,46815144,447
2,1,46544410,447
3,1,47050232,447
4,1,46272054,447
5,1,72569324,547
6,1,72631839,547
7,1,71816045,547
8,1,65974276,547
9,1,67022938,547
10,1,91857195,632
11,1,91769132,632
12,1,91364336,632
13,1,91138479,632
14,1,93046190,632
15,1,117155803,707
16,1,118534981,707
17,1,121773825,707
18,1,123629166,707
19,1,118601541,707
20,1,142707225,774
21,1,144320608,774
22,1,142692577,774
23,1,142929934,774
24,1,143531189,774
25,2,22878072,447
26,2,21980458,447
27,2,21592302,447
28,2,21442191,447
29,2,22605286,447
30,2,35339969,547
31,2,35678173,547
32,2,33891509,547
33,2,34253394,547
34,2,34857718,547
35,2,49211614,632
36,2,49014921,632
37,2,46922721,632
38,2,47187646,632
39,2,47389919,632
40,2,63948289,707
41,2,57409084,707
42,2,56640438,707
43,2,57017540,707
44,2,56181327,707
45,2,70169546,774
46,2,70063097,774
47,2,68885578,774
48,2,69195173,774
49,2,71292571,774
50,3,13240967,447
51,3,13412564,447
52,3,13767321,447
53,3,13685934,447
54,3,13727967,447
55,3,21902844,547
56,3,22110448,547
57,3,19965572,547
58,3,22181767,547
59,3,21341766,547
60,3,29728860,632
61,3,29259696,632
62,3,30668880,632
63,3,30407152,632
64,3,30003518,632
65,3,40123024,707
66,3,40679419,707
67,3,38465659,707
68,3,39066964,707
69,3,39162565,707
70,3,47591982,774
71,3,47850770,774
72,3,47635958,774
73,3,47199908,774
74,3,47345454,774
75,4,10565755,447
76,4,10280896,447
77,4,10248226,447
78,4,10483045,447
79,4,10394604,447
80,4,16794251,547
81,4,15799131,547
82,4,15423151,547
83,4,15538526,547
84,4,15486302,547
85,4,22263058,632
86,4,23011995,632
87,4,21915961,632
88,4,22602468,632
89,4,22513075,632
90,4,29454146,707
91,4,29106778,707
92,4,28849491,707
93,4,30561326,707
94,4,29315174,707
95,4,35600477,774
96,4,34688124,774
97,4,34343109,774
98,4,34857641,774
99,4,34395214,774
100,5,8814084,447
101,5,8587025,447
102,5,8716729,447
103,5,8338058,447
104,5,8742672,447
105,5,13051415,547
106,5,12451359,547
107,5,12612335,547
108,5,12568622,547
109,5,12308949,547
110,5,17001072,632
111,5,17555617,632
112,5,17306773,632
113,5,17064359,632
114,5,17331834,632
115,5,22274688,707
116,5,23380455,707
117,5,23008237,707
118,5,23304583,707
119,5,22943052,707
120,5,27956392,774
121,5,27966359,774
122,5,28830249,774
123,5,28558001,774
124,5,26757303,774
125,6,7221929,447
126,6,7049179,447
127,6,7437493,447
128,6,7038449,447
129,6,7726265,447
130,6,10826857,547
131,6,11622238,547
132,6,11558562,547
133,6,11632882,547
134,6,11400251,547
135,6,15676846,632
136,6,14521470,632
137,6,14591535,632
138,6,15505995,632
139,6,15227053,632
140,6,19534079,707
141,6,19386504,707
142,6,20047073,707
143,6,18619030,707
144,6,18733991,707
145,6,22370205,774
146,6,22629428,774
147,6,31085809,774
148,6,51395413,774
149,6,51664295,774
50,7,6351988,447
51,7,6292231,447
52,7,6340152,447
53,7,6261525,447
54,7,5910769,447
55,7,9445412,547
56,7,10441207,547
57,7,9360136,547
58,7,9355153,547
59,7,9935973,547
60,7,13147592,632
61,7,13077467,632
62,7,13227883,632
63,7,13238599,632
64,7,12611135,632
65,7,16051824,707
66,7,16917328,707
67,7,17096132,707
68,7,16925275,707
69,7,16475768,707
70,7,20407014,774
71,7,20370454,774
72,7,21036400,774
73,7,22161195,774
74,7,20906951,774
75,8,5784733,447
76,8,5816633,447
77,8,5601264,447
78,8,5777080,447
79,8,5588362,447
80,8,8580975,547
81,8,8288039,547
82,8,9585067,547
83,8,8632673,547
84,8,8589356,547
85,8,11741614,632
86,8,12101690,632
87,8,11625924,632
88,8,11136333,632
89,8,10744209,632
90,8,14521609,707
91,8,13934298,707
92,8,13844132,707
93,8,14837732,707
94,8,14106752,707
95,8,16745521,774
96,8,16987393,774
97,8,16657978,774
98,8,16706359,774
99,8,16850515,774
