,num_proc,times_microseconds,mesh_sizes
0,1,45594411,447
1,1,46283183,447
2,1,45493103,447
3,1,44711020,447
4,1,44505699,447
5,1,80865355,547
6,1,80497004,547
7,1,80194383,547
8,1,94652059,547
9,1,174416041,547
10,1,241687721,632
11,1,246356993,632
12,1,251216323,632
13,1,241941240,632
14,1,239466510,632
15,1,323513525,707
16,1,304967136,707
17,1,303904905,707
18,1,321520004,707
19,1,305041390,707
20,1,373193888,774
21,1,376265245,774
22,1,366911277,774
23,1,383275570,774
24,1,365701233,774
25,2,54172299,447
26,2,54967407,447
27,2,53703312,447
28,2,53759893,447
29,2,52320819,447
30,2,90825772,547
31,2,90680597,547
32,2,88153281,547
33,2,88245768,547
34,2,88087240,547
35,2,119349110,632
36,2,113057501,632
37,2,119918360,632
38,2,123829878,632
39,2,122333392,632
40,2,152899975,707
41,2,147446241,707
42,2,148095781,707
43,2,152799081,707
44,2,153366726,707
45,2,179941987,774
46,2,177540857,774
47,2,177616837,774
48,2,183790626,774
49,2,185134463,774
50,3,32986992,447
51,3,34505521,447
52,3,34945959,447
53,3,34644068,447
54,3,34318784,447
55,3,54175400,547
56,3,54882011,547
57,3,53977603,547
58,3,54328356,547
59,3,54392224,547
60,3,74507415,632
61,3,73921636,632
62,3,73368785,632
63,3,76555463,632
64,3,78888712,632
65,3,96501851,707
66,3,96936117,707
67,3,96990117,707
68,3,95391195,707
69,3,110650456,707
70,3,144580921,774
71,3,144399028,774
72,3,142018407,774
73,3,140480819,774
74,3,140661275,774
75,4,79615304,447
76,4,79539367,447
77,4,80180270,447
78,4,80572152,447
79,4,80616744,447
80,4,88244876,547
81,4,87398095,547
82,4,86726363,547
83,4,87385919,547
84,4,86565940,547
85,4,97783270,632
86,4,100357132,632
87,4,100027793,632
88,4,98166764,632
89,4,101367618,632
90,4,110487815,707
91,4,108825612,707
92,4,106979942,707
93,4,108954700,707
94,4,109772574,707
95,4,119377915,774
96,4,121020519,774
97,4,118982246,774
98,4,117601217,774
99,4,118564643,774
0,5,8286891,447
1,5,8411550,447
2,5,8343412,447
3,5,8422509,447
4,5,9394097,447
5,5,12847037,547
6,5,12684788,547
7,5,12810112,547
8,5,12710223,547
9,5,12734127,547
10,5,17774661,632
11,5,18141797,632
12,5,17774538,632
13,5,17505634,632
14,5,19258828,632
15,5,23530882,707
16,5,24617426,707
17,5,24389909,707
18,5,26296403,707
19,5,23923045,707
20,5,29762946,774
21,5,29986923,774
22,5,29756785,774
23,5,30318273,774
24,5,30137673,774
25,6,8383430,447
26,6,7577857,447
27,6,7297580,447
28,6,7139617,447
29,6,7450732,447
30,6,11312167,547
31,6,11469883,547
32,6,11000322,547
33,6,11032884,547
34,6,11155906,547
35,6,15294124,632
36,6,14415587,632
37,6,14947398,632
38,6,14829716,632
39,6,14704080,632
40,6,20134381,707
41,6,18960382,707
42,6,18680538,707
43,6,20072362,707
44,6,18958750,707
45,6,23461898,774
46,6,23140211,774
47,6,23836392,774
48,6,23234262,774
49,6,23790464,774
50,7,6351988,447
51,7,6292231,447
52,7,6340152,447
53,7,6261525,447
54,7,5910769,447
55,7,9445412,547
56,7,10441207,547
57,7,9360136,547
58,7,9355153,547
59,7,9935973,547
60,7,13147592,632
61,7,13077467,632
62,7,13227883,632
63,7,13238599,632
64,7,12611135,632
65,7,16051824,707
66,7,16917328,707
67,7,17096132,707
68,7,16925275,707
69,7,16475768,707
70,7,20407014,774
71,7,20370454,774
72,7,21036400,774
73,7,22161195,774
74,7,20906951,774
75,8,5784733,447
76,8,5816633,447
77,8,5601264,447
78,8,5777080,447
79,8,5588362,447
80,8,8580975,547
81,8,8288039,547
82,8,9585067,547
83,8,8632673,547
84,8,8589356,547
85,8,11741614,632
86,8,12101690,632
87,8,11625924,632
88,8,11136333,632
89,8,10744209,632
90,8,14521609,707
91,8,13934298,707
92,8,13844132,707
93,8,14837732,707
94,8,14106752,707
95,8,16745521,774
96,8,16987393,774
97,8,16657978,774
98,8,16706359,774
99,8,16850515,774
